Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v4.0 Base Score,CVSS v3.0 Base Score
"130982","CVE-2018-12207","7.2","High","10.255.112.211","tcp","0","Debian DSA-4564-1 : linux - security update","The remote Debian host is missing a security-related update.","Several vulnerabilities have been discovered in the Linux kernel that
may lead to a privilege escalation, denial of service, or information
leak.

  - CVE-2018-12207
    It was discovered that on Intel CPUs supporting hardware
    virtualisation with Extended Page Tables (EPT), a guest
    VM may manipulate the memory management hardware to
    cause a Machine Check Error (MCE) and denial of service
    (hang or crash).

  The guest triggers this error by changing page tables without a TLB
  flush, so that both 4 KB and 2 MB entries for the same virtual
  address are loaded into the instruction TLB (iTLB). This update
  implements a mitigation in KVM that prevents guest VMs from loading
  2 MB entries into the iTLB. This will reduce performance of guest
  VMs.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  A qemu update adding support for the PSCHANGE_MC_NO feature, which
  allows to disable iTLB Multihit mitigations in nested hypervisors
  will be provided via DSA 4566-1.

  Intel's explanation of the issue can be found at.

  - CVE-2019-0154
    Intel discovered that on their 8th and 9th generation
    GPUs, reading certain registers while the GPU is in a
    low-power state can cause a system hang. A local user
    permitted to use the GPU can use this for denial of
    service.

  This update mitigates the issue through changes to the i915 driver.

  The affected chips (gen8 and gen9) are listed at.

  - CVE-2019-0155
    Intel discovered that their 9th generation and newer
    GPUs are missing a security check in the Blitter Command
    Streamer (BCS). A local user permitted to use the GPU
    could use this to access any memory that the GPU has
    access to, which could result in a denial of service
    (memory corruption or crash), a leak of sensitive
    information, or privilege escalation.

  This update mitigates the issue by adding the security check to the
  i915 driver.

  The affected chips (gen9 onward) are listed at.

  - CVE-2019-11135
    It was discovered that on Intel CPUs supporting
    transactional memory (TSX), a transaction that is going
    to be aborted may continue to execute speculatively,
    reading sensitive data from internal buffers and leaking
    it through dependent operations. Intel calls this 'TSX
    Asynchronous Abort' (TAA).

  For CPUs affected by the previously published Microarchitectural
  Data Sampling (MDS) issues (CVE-2018-12126, CVE-2018-12127,
  CVE-2018-12130, CVE-2019-11091 ), the existing mitigation also
  mitigates this issue.

  For processors that are vulnerable to TAA but not MDS, this update
  disables TSX by default. This mitigation requires updated CPU
  microcode. An updated intel-microcode package (only available in
  Debian non-free) will be provided via DSA 4565-1. The updated CPU
  microcode may also be available as part of a system firmware
  ('BIOS') update.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  Intel's explanation of the issue can be found at.","Upgrade the linux packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 4.9.189-3+deb9u2.

For the stable distribution (buster), these problems have been fixed
in version 4.19.67-2+deb10u2.","https://security-tracker.debian.org/tracker/CVE-2018-12207
https://security-tracker.debian.org/tracker/CVE-2019-0154
https://security-tracker.debian.org/tracker/CVE-2019-0155
https://security-tracker.debian.org/tracker/CVE-2019-11135
https://security-tracker.debian.org/tracker/CVE-2018-12126
https://security-tracker.debian.org/tracker/CVE-2018-12127
https://security-tracker.debian.org/tracker/CVE-2018-12130
https://security-tracker.debian.org/tracker/CVE-2019-11091
https://security-tracker.debian.org/tracker/source-package/linux
https://packages.debian.org/source/stretch/linux
https://packages.debian.org/source/buster/linux
https://www.debian.org/security/2019/dsa-4564","
Remote package installed : linux-image-4.9.0-8-amd64_4.9.144-3.1
Should be : linux-image-4.9.0-<ANY>-amd64_4.9.189-3+deb9u2

Because Debian/Ubuntu linux packages increment their package name numbers as
well as their version numbers, an update may not be available for the
current kernel level, but the package will still be vulnerable. You may
need to update the kernel level in order to get the latest security
fixes available.","","7.8"
"130982","CVE-2019-0154","7.2","High","10.255.112.211","tcp","0","Debian DSA-4564-1 : linux - security update","The remote Debian host is missing a security-related update.","Several vulnerabilities have been discovered in the Linux kernel that
may lead to a privilege escalation, denial of service, or information
leak.

  - CVE-2018-12207
    It was discovered that on Intel CPUs supporting hardware
    virtualisation with Extended Page Tables (EPT), a guest
    VM may manipulate the memory management hardware to
    cause a Machine Check Error (MCE) and denial of service
    (hang or crash).

  The guest triggers this error by changing page tables without a TLB
  flush, so that both 4 KB and 2 MB entries for the same virtual
  address are loaded into the instruction TLB (iTLB). This update
  implements a mitigation in KVM that prevents guest VMs from loading
  2 MB entries into the iTLB. This will reduce performance of guest
  VMs.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  A qemu update adding support for the PSCHANGE_MC_NO feature, which
  allows to disable iTLB Multihit mitigations in nested hypervisors
  will be provided via DSA 4566-1.

  Intel's explanation of the issue can be found at.

  - CVE-2019-0154
    Intel discovered that on their 8th and 9th generation
    GPUs, reading certain registers while the GPU is in a
    low-power state can cause a system hang. A local user
    permitted to use the GPU can use this for denial of
    service.

  This update mitigates the issue through changes to the i915 driver.

  The affected chips (gen8 and gen9) are listed at.

  - CVE-2019-0155
    Intel discovered that their 9th generation and newer
    GPUs are missing a security check in the Blitter Command
    Streamer (BCS). A local user permitted to use the GPU
    could use this to access any memory that the GPU has
    access to, which could result in a denial of service
    (memory corruption or crash), a leak of sensitive
    information, or privilege escalation.

  This update mitigates the issue by adding the security check to the
  i915 driver.

  The affected chips (gen9 onward) are listed at.

  - CVE-2019-11135
    It was discovered that on Intel CPUs supporting
    transactional memory (TSX), a transaction that is going
    to be aborted may continue to execute speculatively,
    reading sensitive data from internal buffers and leaking
    it through dependent operations. Intel calls this 'TSX
    Asynchronous Abort' (TAA).

  For CPUs affected by the previously published Microarchitectural
  Data Sampling (MDS) issues (CVE-2018-12126, CVE-2018-12127,
  CVE-2018-12130, CVE-2019-11091 ), the existing mitigation also
  mitigates this issue.

  For processors that are vulnerable to TAA but not MDS, this update
  disables TSX by default. This mitigation requires updated CPU
  microcode. An updated intel-microcode package (only available in
  Debian non-free) will be provided via DSA 4565-1. The updated CPU
  microcode may also be available as part of a system firmware
  ('BIOS') update.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  Intel's explanation of the issue can be found at.","Upgrade the linux packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 4.9.189-3+deb9u2.

For the stable distribution (buster), these problems have been fixed
in version 4.19.67-2+deb10u2.","https://security-tracker.debian.org/tracker/CVE-2018-12207
https://security-tracker.debian.org/tracker/CVE-2019-0154
https://security-tracker.debian.org/tracker/CVE-2019-0155
https://security-tracker.debian.org/tracker/CVE-2019-11135
https://security-tracker.debian.org/tracker/CVE-2018-12126
https://security-tracker.debian.org/tracker/CVE-2018-12127
https://security-tracker.debian.org/tracker/CVE-2018-12130
https://security-tracker.debian.org/tracker/CVE-2019-11091
https://security-tracker.debian.org/tracker/source-package/linux
https://packages.debian.org/source/stretch/linux
https://packages.debian.org/source/buster/linux
https://www.debian.org/security/2019/dsa-4564","
Remote package installed : linux-image-4.9.0-8-amd64_4.9.144-3.1
Should be : linux-image-4.9.0-<ANY>-amd64_4.9.189-3+deb9u2

Because Debian/Ubuntu linux packages increment their package name numbers as
well as their version numbers, an update may not be available for the
current kernel level, but the package will still be vulnerable. You may
need to update the kernel level in order to get the latest security
fixes available.","","7.8"
"130982","CVE-2019-0155","7.2","High","10.255.112.211","tcp","0","Debian DSA-4564-1 : linux - security update","The remote Debian host is missing a security-related update.","Several vulnerabilities have been discovered in the Linux kernel that
may lead to a privilege escalation, denial of service, or information
leak.

  - CVE-2018-12207
    It was discovered that on Intel CPUs supporting hardware
    virtualisation with Extended Page Tables (EPT), a guest
    VM may manipulate the memory management hardware to
    cause a Machine Check Error (MCE) and denial of service
    (hang or crash).

  The guest triggers this error by changing page tables without a TLB
  flush, so that both 4 KB and 2 MB entries for the same virtual
  address are loaded into the instruction TLB (iTLB). This update
  implements a mitigation in KVM that prevents guest VMs from loading
  2 MB entries into the iTLB. This will reduce performance of guest
  VMs.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  A qemu update adding support for the PSCHANGE_MC_NO feature, which
  allows to disable iTLB Multihit mitigations in nested hypervisors
  will be provided via DSA 4566-1.

  Intel's explanation of the issue can be found at.

  - CVE-2019-0154
    Intel discovered that on their 8th and 9th generation
    GPUs, reading certain registers while the GPU is in a
    low-power state can cause a system hang. A local user
    permitted to use the GPU can use this for denial of
    service.

  This update mitigates the issue through changes to the i915 driver.

  The affected chips (gen8 and gen9) are listed at.

  - CVE-2019-0155
    Intel discovered that their 9th generation and newer
    GPUs are missing a security check in the Blitter Command
    Streamer (BCS). A local user permitted to use the GPU
    could use this to access any memory that the GPU has
    access to, which could result in a denial of service
    (memory corruption or crash), a leak of sensitive
    information, or privilege escalation.

  This update mitigates the issue by adding the security check to the
  i915 driver.

  The affected chips (gen9 onward) are listed at.

  - CVE-2019-11135
    It was discovered that on Intel CPUs supporting
    transactional memory (TSX), a transaction that is going
    to be aborted may continue to execute speculatively,
    reading sensitive data from internal buffers and leaking
    it through dependent operations. Intel calls this 'TSX
    Asynchronous Abort' (TAA).

  For CPUs affected by the previously published Microarchitectural
  Data Sampling (MDS) issues (CVE-2018-12126, CVE-2018-12127,
  CVE-2018-12130, CVE-2019-11091 ), the existing mitigation also
  mitigates this issue.

  For processors that are vulnerable to TAA but not MDS, this update
  disables TSX by default. This mitigation requires updated CPU
  microcode. An updated intel-microcode package (only available in
  Debian non-free) will be provided via DSA 4565-1. The updated CPU
  microcode may also be available as part of a system firmware
  ('BIOS') update.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  Intel's explanation of the issue can be found at.","Upgrade the linux packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 4.9.189-3+deb9u2.

For the stable distribution (buster), these problems have been fixed
in version 4.19.67-2+deb10u2.","https://security-tracker.debian.org/tracker/CVE-2018-12207
https://security-tracker.debian.org/tracker/CVE-2019-0154
https://security-tracker.debian.org/tracker/CVE-2019-0155
https://security-tracker.debian.org/tracker/CVE-2019-11135
https://security-tracker.debian.org/tracker/CVE-2018-12126
https://security-tracker.debian.org/tracker/CVE-2018-12127
https://security-tracker.debian.org/tracker/CVE-2018-12130
https://security-tracker.debian.org/tracker/CVE-2019-11091
https://security-tracker.debian.org/tracker/source-package/linux
https://packages.debian.org/source/stretch/linux
https://packages.debian.org/source/buster/linux
https://www.debian.org/security/2019/dsa-4564","
Remote package installed : linux-image-4.9.0-8-amd64_4.9.144-3.1
Should be : linux-image-4.9.0-<ANY>-amd64_4.9.189-3+deb9u2

Because Debian/Ubuntu linux packages increment their package name numbers as
well as their version numbers, an update may not be available for the
current kernel level, but the package will still be vulnerable. You may
need to update the kernel level in order to get the latest security
fixes available.","","7.8"
"130982","CVE-2019-11135","7.2","High","10.255.112.211","tcp","0","Debian DSA-4564-1 : linux - security update","The remote Debian host is missing a security-related update.","Several vulnerabilities have been discovered in the Linux kernel that
may lead to a privilege escalation, denial of service, or information
leak.

  - CVE-2018-12207
    It was discovered that on Intel CPUs supporting hardware
    virtualisation with Extended Page Tables (EPT), a guest
    VM may manipulate the memory management hardware to
    cause a Machine Check Error (MCE) and denial of service
    (hang or crash).

  The guest triggers this error by changing page tables without a TLB
  flush, so that both 4 KB and 2 MB entries for the same virtual
  address are loaded into the instruction TLB (iTLB). This update
  implements a mitigation in KVM that prevents guest VMs from loading
  2 MB entries into the iTLB. This will reduce performance of guest
  VMs.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  A qemu update adding support for the PSCHANGE_MC_NO feature, which
  allows to disable iTLB Multihit mitigations in nested hypervisors
  will be provided via DSA 4566-1.

  Intel's explanation of the issue can be found at.

  - CVE-2019-0154
    Intel discovered that on their 8th and 9th generation
    GPUs, reading certain registers while the GPU is in a
    low-power state can cause a system hang. A local user
    permitted to use the GPU can use this for denial of
    service.

  This update mitigates the issue through changes to the i915 driver.

  The affected chips (gen8 and gen9) are listed at.

  - CVE-2019-0155
    Intel discovered that their 9th generation and newer
    GPUs are missing a security check in the Blitter Command
    Streamer (BCS). A local user permitted to use the GPU
    could use this to access any memory that the GPU has
    access to, which could result in a denial of service
    (memory corruption or crash), a leak of sensitive
    information, or privilege escalation.

  This update mitigates the issue by adding the security check to the
  i915 driver.

  The affected chips (gen9 onward) are listed at.

  - CVE-2019-11135
    It was discovered that on Intel CPUs supporting
    transactional memory (TSX), a transaction that is going
    to be aborted may continue to execute speculatively,
    reading sensitive data from internal buffers and leaking
    it through dependent operations. Intel calls this 'TSX
    Asynchronous Abort' (TAA).

  For CPUs affected by the previously published Microarchitectural
  Data Sampling (MDS) issues (CVE-2018-12126, CVE-2018-12127,
  CVE-2018-12130, CVE-2019-11091 ), the existing mitigation also
  mitigates this issue.

  For processors that are vulnerable to TAA but not MDS, this update
  disables TSX by default. This mitigation requires updated CPU
  microcode. An updated intel-microcode package (only available in
  Debian non-free) will be provided via DSA 4565-1. The updated CPU
  microcode may also be available as part of a system firmware
  ('BIOS') update.

  Further information on the mitigation can be found at or in the
  linux-doc-4.9 or linux-doc-4.19 package.

  Intel's explanation of the issue can be found at.","Upgrade the linux packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 4.9.189-3+deb9u2.

For the stable distribution (buster), these problems have been fixed
in version 4.19.67-2+deb10u2.","https://security-tracker.debian.org/tracker/CVE-2018-12207
https://security-tracker.debian.org/tracker/CVE-2019-0154
https://security-tracker.debian.org/tracker/CVE-2019-0155
https://security-tracker.debian.org/tracker/CVE-2019-11135
https://security-tracker.debian.org/tracker/CVE-2018-12126
https://security-tracker.debian.org/tracker/CVE-2018-12127
https://security-tracker.debian.org/tracker/CVE-2018-12130
https://security-tracker.debian.org/tracker/CVE-2019-11091
https://security-tracker.debian.org/tracker/source-package/linux
https://packages.debian.org/source/stretch/linux
https://packages.debian.org/source/buster/linux
https://www.debian.org/security/2019/dsa-4564","
Remote package installed : linux-image-4.9.0-8-amd64_4.9.144-3.1
Should be : linux-image-4.9.0-<ANY>-amd64_4.9.189-3+deb9u2

Because Debian/Ubuntu linux packages increment their package name numbers as
well as their version numbers, an update may not be available for the
current kernel level, but the package will still be vulnerable. You may
need to update the kernel level in order to get the latest security
fixes available.","","7.8"
"131036","CVE-2019-14869","6.8","Medium","10.255.112.211","tcp","0","Debian DSA-4569-1 : ghostscript - security update","The remote Debian host is missing a security-related update.","Manfred Paul and Lukas Schauer reported that the .charkeys procedure
in Ghostscript, the GPL PostScript/PDF interpreter, does not properly
restrict privileged calls, which could result in bypass of file system
restrictions of the dSAFER sandbox.","Upgrade the ghostscript packages.

For the oldstable distribution (stretch), this problem has been fixed
in version 9.26a~dfsg-0+deb9u6.

For the stable distribution (buster), this problem has been fixed in
version 9.27~dfsg-2+deb10u3.","https://security-tracker.debian.org/tracker/source-package/ghostscript
https://packages.debian.org/source/stretch/ghostscript
https://packages.debian.org/source/buster/ghostscript
https://www.debian.org/security/2019/dsa-4569","
Remote package installed : ghostscript_9.26a~dfsg-0+deb9u2
Should be : ghostscript_9.26a~dfsg-0+deb9u6
Remote package installed : libgs9_9.26a~dfsg-0+deb9u2
Should be : libgs9_9.26a~dfsg-0+deb9u6
Remote package installed : libgs9-common_9.26a~dfsg-0+deb9u2
Should be : libgs9-common_9.26a~dfsg-0+deb9u6
","","8.8"
"132347","CVE-2019-19906","5.0","Medium","10.255.112.211","tcp","0","Debian DSA-4591-1 : cyrus-sasl2 - security update","The remote Debian host is missing a security-related update.","Stephan Zeisberg reported an out-of-bounds write vulnerability in the
_sasl_add_string() function in cyrus-sasl2, a library implementing the
Simple Authentication and Security Layer. A remote attacker can take
advantage of this issue to cause denial-of-service conditions for
applications using the library.","Upgrade the cyrus-sasl2 packages.

For the oldstable distribution (stretch), this problem has been fixed
in version 2.1.27~101-g0780600+dfsg-3+deb9u1.

For the stable distribution (buster), this problem has been fixed in
version 2.1.27+dfsg-1+deb10u1.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=947043
https://security-tracker.debian.org/tracker/source-package/cyrus-sasl2
https://packages.debian.org/source/stretch/cyrus-sasl2
https://packages.debian.org/source/buster/cyrus-sasl2
https://www.debian.org/security/2019/dsa-4591","
Remote package installed : libsasl2-2_2.1.27~101-g0780600+dfsg-3
Should be : libsasl2-2_2.1.27~101-g0780600+dfsg-3+deb9u1
Remote package installed : libsasl2-modules_2.1.27~101-g0780600+dfsg-3
Should be : libsasl2-modules_2.1.27~101-g0780600+dfsg-3+deb9u1
Remote package installed : libsasl2-modules-db_2.1.27~101-g0780600+dfsg-3
Should be : libsasl2-modules-db_2.1.27~101-g0780600+dfsg-3+deb9u1
","","7.5"
"132425","CVE-2019-1551","5.0","Medium","10.255.112.211","tcp","0","Debian DSA-4594-1 : openssl1.0 - security update","The remote Debian host is missing a security-related update.","Guido Vranken discovered an overflow bug in the x64_64 Montgomery
squaring procedure used in exponentiation with 512-bit moduli.","Upgrade the openssl1.0 packages.

For the oldstable distribution (stretch), this problem has been fixed
in version 1.0.2u-1~deb9u1.","https://security-tracker.debian.org/tracker/source-package/openssl1.0
https://packages.debian.org/source/stretch/openssl1.0
https://www.debian.org/security/2019/dsa-4594","
Remote package installed : libssl1.0.2_1.0.2r-1~deb9u1
Should be : libssl1.0.2_1.0.2u-1~deb9u1
","","5.3"
"133230","CVE-2019-15795","2.6","Low","10.255.112.211","tcp","0","Debian DSA-4609-1 : python-apt - security update","The remote Debian host is missing a security-related update.","Two security issues were found in the Python interface to the apt
package manager; package downloads from unsigned repositories were
incorrectly rejected and the hash validation relied on MD5.","Upgrade the python-apt packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 1.4.1.

For the stable distribution (buster), these problems have been fixed
in version 1.8.4.1.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=944696
https://security-tracker.debian.org/tracker/source-package/python-apt
https://packages.debian.org/source/stretch/python-apt
https://packages.debian.org/source/buster/python-apt
https://www.debian.org/security/2020/dsa-4609","
Remote package installed : python-apt-common_1.4.0~beta3
Should be : python-apt-common_1.4.1
Remote package installed : python3-apt_1.4.0~beta3
Should be : python3-apt_1.4.1
","","4.7"
"133230","CVE-2019-15796","2.6","Low","10.255.112.211","tcp","0","Debian DSA-4609-1 : python-apt - security update","The remote Debian host is missing a security-related update.","Two security issues were found in the Python interface to the apt
package manager; package downloads from unsigned repositories were
incorrectly rejected and the hash validation relied on MD5.","Upgrade the python-apt packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 1.4.1.

For the stable distribution (buster), these problems have been fixed
in version 1.8.4.1.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=944696
https://security-tracker.debian.org/tracker/source-package/python-apt
https://packages.debian.org/source/stretch/python-apt
https://packages.debian.org/source/buster/python-apt
https://www.debian.org/security/2020/dsa-4609","
Remote package installed : python-apt-common_1.4.0~beta3
Should be : python-apt-common_1.4.1
Remote package installed : python3-apt_1.4.0~beta3
Should be : python3-apt_1.4.1
","","4.7"
"133417","CVE-2019-18634","4.6","Medium","10.255.112.211","tcp","0","Debian DSA-4614-1 : sudo - security update","The remote Debian host is missing a security-related update.","Joe Vennix discovered a stack-based buffer overflow vulnerability in
sudo, a program designed to provide limited super user privileges to
specific users, triggerable when configured with the 'pwfeedback'
option enabled. An unprivileged user can take advantage of this flaw
to obtain full root privileges.

Details can be found in the upstream advisory at
https://www.sudo.ws/alerts/pwfeedback.html .","Upgrade the sudo packages.

For the oldstable distribution (stretch), this problem has been fixed
in version 1.8.19p1-2.1+deb9u2.

For the stable distribution (buster), exploitation of the bug is
prevented due to a change in EOF handling introduced in 1.8.26.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=950371
https://www.sudo.ws/alerts/pwfeedback.html
https://security-tracker.debian.org/tracker/source-package/sudo
https://packages.debian.org/source/stretch/sudo
https://www.debian.org/security/2020/dsa-4614","
Remote package installed : sudo_1.8.19p1-2.1
Should be : sudo_1.8.19p1-2.1+deb9u2
","","7.8"
"133815","CVE-2019-11045","6.4","Medium","10.255.112.211","tcp","0","Debian DSA-4628-1 : php7.0 - security update","The remote Debian host is missing a security-related update.","Multiple security issues were found in PHP, a widely-used open source
general purpose scripting language which could result in information
disclosure, denial of service or incorrect validation of path names.","Upgrade the php7.0 packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 7.0.33-0+deb9u7.","https://security-tracker.debian.org/tracker/source-package/php7.0
https://packages.debian.org/source/stretch/php7.0
https://www.debian.org/security/2020/dsa-4628","
Remote package installed : libapache2-mod-php7.0_7.0.33-0+deb9u3
Should be : libapache2-mod-php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0_7.0.33-0+deb9u3
Should be : php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0-cli_7.0.33-0+deb9u3
Should be : php7.0-cli_7.0.33-0+deb9u7
Remote package installed : php7.0-common_7.0.33-0+deb9u3
Should be : php7.0-common_7.0.33-0+deb9u7
Remote package installed : php7.0-curl_7.0.33-0+deb9u3
Should be : php7.0-curl_7.0.33-0+deb9u7
Remote package installed : php7.0-gd_7.0.33-0+deb9u3
Should be : php7.0-gd_7.0.33-0+deb9u7
Remote package installed : php7.0-json_7.0.33-0+deb9u3
Should be : php7.0-json_7.0.33-0+deb9u7
Remote package installed : php7.0-mysql_7.0.33-0+deb9u3
Should be : php7.0-mysql_7.0.33-0+deb9u7
Remote package installed : php7.0-opcache_7.0.33-0+deb9u3
Should be : php7.0-opcache_7.0.33-0+deb9u7
Remote package installed : php7.0-readline_7.0.33-0+deb9u3
Should be : php7.0-readline_7.0.33-0+deb9u7
Remote package installed : php7.0-xml_7.0.33-0+deb9u3
Should be : php7.0-xml_7.0.33-0+deb9u7
","","9.1"
"133815","CVE-2019-11046","6.4","Medium","10.255.112.211","tcp","0","Debian DSA-4628-1 : php7.0 - security update","The remote Debian host is missing a security-related update.","Multiple security issues were found in PHP, a widely-used open source
general purpose scripting language which could result in information
disclosure, denial of service or incorrect validation of path names.","Upgrade the php7.0 packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 7.0.33-0+deb9u7.","https://security-tracker.debian.org/tracker/source-package/php7.0
https://packages.debian.org/source/stretch/php7.0
https://www.debian.org/security/2020/dsa-4628","
Remote package installed : libapache2-mod-php7.0_7.0.33-0+deb9u3
Should be : libapache2-mod-php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0_7.0.33-0+deb9u3
Should be : php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0-cli_7.0.33-0+deb9u3
Should be : php7.0-cli_7.0.33-0+deb9u7
Remote package installed : php7.0-common_7.0.33-0+deb9u3
Should be : php7.0-common_7.0.33-0+deb9u7
Remote package installed : php7.0-curl_7.0.33-0+deb9u3
Should be : php7.0-curl_7.0.33-0+deb9u7
Remote package installed : php7.0-gd_7.0.33-0+deb9u3
Should be : php7.0-gd_7.0.33-0+deb9u7
Remote package installed : php7.0-json_7.0.33-0+deb9u3
Should be : php7.0-json_7.0.33-0+deb9u7
Remote package installed : php7.0-mysql_7.0.33-0+deb9u3
Should be : php7.0-mysql_7.0.33-0+deb9u7
Remote package installed : php7.0-opcache_7.0.33-0+deb9u3
Should be : php7.0-opcache_7.0.33-0+deb9u7
Remote package installed : php7.0-readline_7.0.33-0+deb9u3
Should be : php7.0-readline_7.0.33-0+deb9u7
Remote package installed : php7.0-xml_7.0.33-0+deb9u3
Should be : php7.0-xml_7.0.33-0+deb9u7
","","9.1"
"133815","CVE-2019-11047","6.4","Medium","10.255.112.211","tcp","0","Debian DSA-4628-1 : php7.0 - security update","The remote Debian host is missing a security-related update.","Multiple security issues were found in PHP, a widely-used open source
general purpose scripting language which could result in information
disclosure, denial of service or incorrect validation of path names.","Upgrade the php7.0 packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 7.0.33-0+deb9u7.","https://security-tracker.debian.org/tracker/source-package/php7.0
https://packages.debian.org/source/stretch/php7.0
https://www.debian.org/security/2020/dsa-4628","
Remote package installed : libapache2-mod-php7.0_7.0.33-0+deb9u3
Should be : libapache2-mod-php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0_7.0.33-0+deb9u3
Should be : php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0-cli_7.0.33-0+deb9u3
Should be : php7.0-cli_7.0.33-0+deb9u7
Remote package installed : php7.0-common_7.0.33-0+deb9u3
Should be : php7.0-common_7.0.33-0+deb9u7
Remote package installed : php7.0-curl_7.0.33-0+deb9u3
Should be : php7.0-curl_7.0.33-0+deb9u7
Remote package installed : php7.0-gd_7.0.33-0+deb9u3
Should be : php7.0-gd_7.0.33-0+deb9u7
Remote package installed : php7.0-json_7.0.33-0+deb9u3
Should be : php7.0-json_7.0.33-0+deb9u7
Remote package installed : php7.0-mysql_7.0.33-0+deb9u3
Should be : php7.0-mysql_7.0.33-0+deb9u7
Remote package installed : php7.0-opcache_7.0.33-0+deb9u3
Should be : php7.0-opcache_7.0.33-0+deb9u7
Remote package installed : php7.0-readline_7.0.33-0+deb9u3
Should be : php7.0-readline_7.0.33-0+deb9u7
Remote package installed : php7.0-xml_7.0.33-0+deb9u3
Should be : php7.0-xml_7.0.33-0+deb9u7
","","9.1"
"133815","CVE-2019-11050","6.4","Medium","10.255.112.211","tcp","0","Debian DSA-4628-1 : php7.0 - security update","The remote Debian host is missing a security-related update.","Multiple security issues were found in PHP, a widely-used open source
general purpose scripting language which could result in information
disclosure, denial of service or incorrect validation of path names.","Upgrade the php7.0 packages.

For the oldstable distribution (stretch), these problems have been
fixed in version 7.0.33-0+deb9u7.","https://security-tracker.debian.org/tracker/source-package/php7.0
https://packages.debian.org/source/stretch/php7.0
https://www.debian.org/security/2020/dsa-4628","
Remote package installed : libapache2-mod-php7.0_7.0.33-0+deb9u3
Should be : libapache2-mod-php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0_7.0.33-0+deb9u3
Should be : php7.0_7.0.33-0+deb9u7
Remote package installed : php7.0-cli_7.0.33-0+deb9u3
Should be : php7.0-cli_7.0.33-0+deb9u7
Remote package installed : php7.0-common_7.0.33-0+deb9u3
Should be : php7.0-common_7.0.33-0+deb9u7
Remote package installed : php7.0-curl_7.0.33-0+deb9u3
Should be : php7.0-curl_7.0.33-0+deb9u7
Remote package installed : php7.0-gd_7.0.33-0+deb9u3
Should be : php7.0-gd_7.0.33-0+deb9u7
Remote package installed : php7.0-json_7.0.33-0+deb9u3
Should be : php7.0-json_7.0.33-0+deb9u7
Remote package installed : php7.0-mysql_7.0.33-0+deb9u3
Should be : php7.0-mysql_7.0.33-0+deb9u7
Remote package installed : php7.0-opcache_7.0.33-0+deb9u3
Should be : php7.0-opcache_7.0.33-0+deb9u7
Remote package installed : php7.0-readline_7.0.33-0+deb9u3
Should be : php7.0-readline_7.0.33-0+deb9u7
Remote package installed : php7.0-xml_7.0.33-0+deb9u3
Should be : php7.0-xml_7.0.33-0+deb9u7
","","9.1"
